Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Grenoble,30,26,50.6,21,231.0,1890,21.0,26.0,17.0,24.0,2.0,2.0,39.0,2.0,1.24,0.81,2.05,1.14,1.95,259.0,89.0,34.4,12.33,4.24,0.09,0.27,,90,100,84.0,150.0,79.0,17.0,66,1.05,27,17,10,0.48,2.0,273.0,249.0,42.0,357.0,242.0,196.0,,,0.0,Ligue-2,60,2021-2022
Guingamp,30,26,50.1,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,117,1.39,33,40,-7,-0.25,,,,,,,,,,,Ligue-2,60,2019-2020
Guingamp,31,26,50.7,38,418.0,3420,38.0,42.0,26.0,39.0,3.0,3.0,78.0,5.0,1.11,0.68,1.79,1.03,1.71,444.0,138.0,31.1,11.68,3.63,0.09,0.28,,90,100,83.0,269.0,144.0,19.0,120,1.24,43,41,2,0.05,1.0,545.0,549.0,58.0,692.0,484.0,342.0,,,1.0,Ligue-2,60,2020-2021
Guingamp,31,26,47.1,22,242.0,1980,22.0,31.0,25.0,27.0,4.0,5.0,43.0,2.0,1.41,1.14,2.55,1.23,2.36,215.0,74.0,34.4,9.77,3.36,0.13,0.36,,90,100,83.0,156.0,84.0,21.0,70,1.18,31,24,7,0.32,0.0,322.0,311.0,42.0,386.0,263.0,259.0,,,1.0,Ligue-2,60,2021-2022
Le Havre,23,26,51.4,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,116,1.57,25,38,-13,-0.46,,,,,,,,,,,Ligue-2,60,2019-2020
Le Havre,26,26,50.4,38,418.0,3420,38.0,39.0,28.0,37.0,2.0,6.0,71.0,8.0,1.03,0.74,1.76,0.97,1.71,,,,,,,,,90,100,84.0,,106.0,20.0,157,1.42,40,45,-5,-0.13,4.0,,,,,,,,,2.0,Ligue-2,60,2018-2019
Le Havre,27,26,52.4,38,418.0,3420,38.0,34.0,23.0,31.0,3.0,3.0,59.0,8.0,0.89,0.61,1.5,0.82,1.42,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,105.0,20.0,156,1.74,34,53,-19,-0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ligue-2,60,2017-2018
Le Havre,29,26,54.4,22,242.0,1980,22.0,16.0,12.0,14.0,2.0,2.0,45.0,2.0,0.73,0.55,1.27,0.64,1.18,217.0,76.0,35.0,9.86,3.45,0.06,0.18,,90,100,84.0,160.0,80.0,18.0,72,1.55,16,22,-6,-0.27,2.0,319.0,249.0,67.0,418.0,267.0,245.0,,,1.0,Ligue-2,60,2021-2022
Le Havre,36,26,52.4,38,418.0,3420,38.0,48.0,30.0,41.0,7.0,7.0,77.0,3.0,1.26,0.79,2.05,1.08,1.87,432.0,148.0,34.3,11.37,3.89,0.09,0.28,,90,100,83.0,263.0,153.0,19.0,113,1.24,48,38,10,0.26,2.0,616.0,448.0,73.0,782.0,522.0,358.0,,,4.0,Ligue-2,60,2020-2021
Le Mans,29,26,48.5,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,114,0.93,45,30,15,0.54,,,,,,,,,,,Ligue-2,60,2019-2020
