Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Le Mans,29,25,51.5,28,308,2520,28.0,29,18,25,4,4,54.0,4.0,1.04,0.64,1.68,0.89,1.54,327.0,97.0,29.7,11.68,3.46,0.08,0.26,,90,100,85.0,,81,20,115,0.93,30,45,-15,-0.54,2,432.0,387.0,42.0,511.0,293.0,246.0,,,1,Ligue-2,60,2019-2020
Lens,28,25,52.4,38,418,3420,38.0,45,31,38,7,7,74.0,4.0,1.18,0.82,2.0,1.0,1.82,,,,,,,,,90,100,84.0,,113,22,153,1.66,49,28,21,0.55,1,,,,,,,,,0,Ligue-2,60,2018-2019
Lens,28,27,54.7,28,308,2520,28.0,38,24,31,7,9,55.0,4.0,1.36,0.86,2.21,1.11,1.96,310.0,113.0,36.5,11.07,4.04,0.1,0.27,,90,100,84.0,,81,22,115,1.89,39,24,15,0.54,2,422.0,437.0,60.0,545.0,300.0,271.0,,,0,Ligue-2,60,2019-2020
Lens,34,25,57.9,38,418,3420,38.0,47,30,39,8,8,,,1.24,0.79,2.03,1.03,1.82,0.0,169.0,,0.0,4.45,,0.23,,90,100,,,104,0,162,1.13,48,49,-1,-0.03,3,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Ligue-2,60,2017-2018
Lorient,24,26,52.2,28,308,2520,28.0,43,31,38,5,6,43.0,4.0,1.54,1.11,2.64,1.36,2.46,349.0,130.0,37.2,12.46,4.64,0.11,0.29,,90,100,84.0,,83,21,113,1.93,45,25,20,0.71,1,366.0,332.0,65.0,536.0,332.0,267.0,,,3,Ligue-2,60,2019-2020
Lorient,26,25,57.8,38,418,3420,38.0,60,37,54,6,6,,,1.58,0.97,2.55,1.42,2.39,0.0,190.0,,0.0,5.0,,0.28,,90,100,,,111,0,154,1.63,61,46,15,0.39,1,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Ligue-2,60,2017-2018
Lorient,30,25,54.0,38,418,3420,38.0,50,32,45,5,7,87.0,3.0,1.32,0.84,2.16,1.18,2.03,,,,,,,,,90,100,85.0,,108,19,158,1.66,51,41,10,0.26,1,,,,,,,,,1,Ligue-2,60,2018-2019
Metz,25,26,56.4,38,418,3420,38.0,59,36,47,12,12,62.0,3.0,1.55,0.95,2.5,1.24,2.18,,,,,,,,,90,100,85.0,,102,19,164,2.13,60,23,37,0.97,1,,,,,,,,,1,Ligue-2,60,2018-2019
Nancy,28,27,50.5,28,308,2520,28.0,25,12,21,4,5,60.0,4.0,0.89,0.43,1.32,0.75,1.18,296.0,92.0,31.1,10.57,3.29,0.07,0.23,,90,100,84.0,,83,21,113,1.21,27,26,1,0.04,2,431.0,394.0,55.0,561.0,276.0,261.0,,,0,Ligue-2,60,2019-2020
Nancy,28,25,48.3,38,418,3420,38.0,52,36,47,5,5,61.0,5.0,1.37,0.95,2.32,1.24,2.18,366.0,129.0,35.2,9.63,3.39,0.13,0.36,,90,100,82.0,254.0,160,19,104,1.24,53,53,0,0.0,1,621.0,566.0,84.0,644.0,462.0,374.0,,,7,Ligue-2,60,2020-2021
