Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Antonio Rüdiger,de GER,DF,eng Chelsea,24,1993,6,4,388,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,4,0,0.0,0.93,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,53.9,,4,2,,2,1.33,7,7,0,0.00,-1.36,0,11,0,0,0,Champions-League,8,2017-2018
Sebastian Rudy,de GER,MF,de Bayern Munich,27,1990,5,3,345,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,5,2,40.0,1.30,0.52,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,31.9,,3,2,,6,2.40,9,4,+5,+1.30,+0.20,0,8,0,0,0,Champions-League,8,2017-2018
Jesús Rueda,es ESP,DF,cy APOEL FC,30,1987,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.33,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,6,0,,0,1.09,2,17,-15,-2.50,,0,3,0,0,0,Champions-League,8,2017-2018
Daniele Rugani,it ITA,DF,it Juventus,23,1994,2,1,110,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.82,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,12.2,,1,1,,7,2.00,1,0,+1,+0.82,+0.70,0,0,0,0,0,Champions-League,8,2017-2018
Mário Rui,pt POR,"DF,MF",it Napoli,26,1991,2,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.6,,0,2,,0,1.50,0,1,-1,-3.00,-3.18,0,0,0,0,0,Champions-League,8,2017-2018
Alan Ruiz,ar ARG,FW,pt Sporting CP,23,1993,1,1,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8.5,,0,0,,3,0.00,0,0,0,0.00,+0.18,0,1,0,0,0,Champions-League,8,2017-2018
Jakub Rzeźniczak,pl POL,DF,az Qarabağ FK,30,1986,5,4,379,4.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,70.2,,4,1,,1,1.36,1,12,-11,-2.61,-2.05,0,4,0,0,0,Champions-League,8,2017-2018
José Sá,pt POR,GK,pt Porto,24,1993,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,62.5,,5,0,,3,1.40,11,12,-1,-0.20,-0.53,0,0,0,0,0,Champions-League,8,2017-2018
Josué Sá,pt POR,DF,be Anderlecht,25,1992,3,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,17.2,,0,3,,1,1.00,0,5,-5,-4.84,-2.83,0,0,0,0,0,Champions-League,8,2017-2018
Marcel Sabitzer,at AUT,MF,de RB Leipzig,23,1994,5,5,395,4.4,0,2,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,12,4,33.3,2.73,0.91,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,73.1,,4,0,,0,1.40,8,8,0,0.00,+0.62,0,4,0,0,0,Champions-League,8,2017-2018
