Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
12.0,Sat,2021-11-20,15:30,M'Gladbach,2.6,4–0,0.4,Greuther Fürth,38621.0,Stadion im Borussia-Park,Benjamin Brand,Bundesliga,20,2021-2022
12.0,Sat,2021-11-20,15:30,Leverkusen,1.7,1–0,0.8,Bochum,22538.0,BayArena,Daniel Schlager,Bundesliga,20,2021-2022
12.0,Sat,2021-11-20,15:30,Hoffenheim,2.7,2–0,0.2,RB Leipzig,13233.0,PreZero Arena,Tobias Welz,Bundesliga,20,2021-2022
12.0,Sat,2021-11-20,15:30,Dortmund,1.7,2–1,1.4,Stuttgart,57900.0,Signal Iduna Park,Harm Osmers,Bundesliga,20,2021-2022
12.0,Sat,2021-11-20,18:30,Union Berlin,2.0,2–0,0.5,Hertha BSC,22012.0,Stadion An der Alten Försterei,Felix Brych,Bundesliga,20,2021-2022
12.0,Sun,2021-11-21,15:30,Freiburg,1.7,0–2,1.3,Eint Frankfurt,32500.0,Europa-Park Stadion,Florian Badstübner,Bundesliga,20,2021-2022
12.0,Sun,2021-11-21,17:30,Mainz 05,0.9,1–1,1.7,Köln,25500.0,Opel Arena,Deniz Aytekin,Bundesliga,20,2021-2022
13.0,Fri,2021-11-26,20:30,Stuttgart,0.4,2–1,1.0,Mainz 05,25000.0,Mercedes-Benz Arena,Matthias Jöllenbeck,Bundesliga,20,2021-2022
13.0,Sat,2021-11-27,15:30,Wolfsburg,1.4,1–3,2.2,Dortmund,13281.0,Volkswagen Arena,Sven Jablonski,Bundesliga,20,2021-2022
13.0,Sat,2021-11-27,15:30,Köln,1.7,4–1,1.1,M'Gladbach,50000.0,RheinEnergieSTADION,Robert Schröder,Bundesliga,20,2021-2022
13.0,Sat,2021-11-27,15:30,Bochum,1.0,2–1,2.1,Freiburg,19700.0,Vonovia Ruhrstadion,Patrick Ittrich,Bundesliga,20,2021-2022
13.0,Sat,2021-11-27,15:30,Greuther Fürth,1.4,3–6,3.0,Hoffenheim,3385.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Bundesliga,20,2021-2022
13.0,Sat,2021-11-27,15:30,Hertha BSC,1.4,1–1,1.4,Augsburg,14523.0,Olympiastadion Berlin,Frank Willenborg,Bundesliga,20,2021-2022
13.0,Sat,2021-11-27,18:30,Bayern Munich,2.3,1–0,0.5,Arminia,12000.0,Allianz Arena,Marco Fritz,Bundesliga,20,2021-2022
13.0,Sun,2021-11-28,15:30,Eint Frankfurt,1.9,2–1,1.3,Union Berlin,24000.0,Commerzbank-Arena,Sascha Stegemann,Bundesliga,20,2021-2022
13.0,Sun,2021-11-28,17:30,RB Leipzig,1.6,1–3,1.8,Leverkusen,,Red Bull Arena,Benjamin Cortus,Bundesliga,20,2021-2022
14.0,Fri,2021-12-03,20:30,Union Berlin,3.3,2–1,1.3,RB Leipzig,13506.0,Stadion An der Alten Försterei,Harm Osmers,Bundesliga,20,2021-2022
