Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
10.0,Sat,2017-10-28,18:30,Atlético Madrid,1.6,1–1,0.8,Villarreal,61421.0,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,20:45,Athletic Club,1.1,0–2,2.3,Barcelona,43570.0,San MamÃ©s,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,22:30,Sevilla,1.4,2–1,1.1,Leganés,32097.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,David MediÃ©,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,12:00,Getafe,1.9,2–1,1.1,Real Sociedad,11010.0,Coliseum Alfonso PÃ©rez,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,16:15,Girona,1.7,2–1,1.4,Real Madrid,13382.0,Estadi Municipal de Montilivi,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,18:30,Eibar,1.6,2–2,1.0,Levante,5131.0,Estadio Municipal de IpurÃºa,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,20:45,Málaga,1.8,2–1,1.5,Celta Vigo,19541.0,Estadio La Rosaleda,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
10.0,Mon,2017-10-30,20:00,Las Palmas,1.1,1–3,1.6,La Coruña,14805.0,Estadio de Gran Canaria,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
10.0,Mon,2017-10-30,21:00,Espanyol,0.6,1–0,0.5,Betis,17856.0,RCDE Stadium,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
11.0,Fri,2017-11-03,21:00,Betis,1.1,2–2,0.5,Getafe,42323.0,Estadio Benito VillamarÃ­n,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,13:00,Valencia,2.2,3–0,1.0,Leganés,39694.0,Estadio de Mestalla,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,16:15,La Coruña,0.5,0–1,0.5,Atlético Madrid,22733.0,Estadio Municipal de Riazor,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,18:30,Alavés,1.6,1–0,1.3,Espanyol,19368.0,Estadio de Mendizorroza,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,20:45,Barcelona,1.8,2–1,0.4,Sevilla,70723.0,Camp Nou,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,12:00,Levante,0.6,1–2,1.1,Girona,18324.0,Estadio Ciudad de Valencia,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
