Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
27.0,Sun,2021-03-14,21:00,Sevilla,0.7,1–0,0.6,Betis,,Estadio Ramn Snchez Pizjun,Antonio Matu Lahoz,La-Liga,12,2020-2021
27.0,Mon,2021-03-15,21:00,Barcelona,1.6,4–1,2.1,Huesca,,Camp Nou,Adrin Cordero,La-Liga,12,2020-2021
2.0,Wed,2021-03-17,19:00,Sevilla,1.4,2–0,0.6,Elche,,Estadio Ramn Snchez Pizjun,Alberola Rojas,La-Liga,12,2020-2021
28.0,Fri,2021-03-19,21:00,Betis,2.4,2–0,0.5,Levante,,Estadio Benito Villamarn,Jess Gil,La-Liga,12,2020-2021
28.0,Sat,2021-03-20,14:00,Athletic Club,1.8,1–1,0.6,Eibar,,San Mams,Valentn Pizarro,La-Liga,12,2020-2021
28.0,Sat,2021-03-20,16:15,Celta Vigo,0.7,1–3,2.7,Real Madrid,,Estadio de Balados,Mario Melero,La-Liga,12,2020-2021
28.0,Sat,2021-03-20,18:30,Huesca,0.9,0–0,0.4,Osasuna,,Estadio El Alcoraz,Carlos del Cerro,La-Liga,12,2020-2021
28.0,Sat,2021-03-20,21:00,Valladolid,0.9,1–1,1.4,Sevilla,,Estadio Municipal Jos Zorrilla,Javier Estrada,La-Liga,12,2020-2021
28.0,Sun,2021-03-21,14:00,Getafe,1.6,1–1,1.5,Elche,,Coliseum Alfonso Prez,Alejandro Hernndez,La-Liga,12,2020-2021
28.0,Sun,2021-03-21,16:15,Valencia,1.8,2–1,0.9,Granada,,Estadio de Mestalla,Alberola Rojas,La-Liga,12,2020-2021
28.0,Sun,2021-03-21,16:15,Villarreal,2.5,2–1,1.0,Cdiz,,Estadio de la Cermica,Csar Soto,La-Liga,12,2020-2021
28.0,Sun,2021-03-21,18:30,Atltico Madrid,0.6,1–0,1.2,Alavs,,Estadio Wanda Metropolitano,Juan Martnez,La-Liga,12,2020-2021
28.0,Sun,2021-03-21,21:00,Real Sociedad,0.8,1–6,2.9,Barcelona,,Estadio Municipal de Anoeta,Jos Luis Munuera,La-Liga,12,2020-2021
29.0,Fri,2021-04-02,21:00,Levante,0.5,0–2,0.8,Huesca,,Estadio Ciudad de Valencia,Jorge Figueroa,La-Liga,12,2020-2021
29.0,Sat,2021-04-03,14:00,Granada,1.8,0–3,2.8,Villarreal,,Estadio Nuevo Los Crmenes,Guillermo Cuadra,La-Liga,12,2020-2021
