Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Adama Niane,ml MLI,FW,Sochaux,28,1993,2,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,13.85,0.0,0.0,,,7,1.0,,0,2,7.0,3,1.5,0,0,0,0.0,-0.51,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Adil Taoui,fr FRA,"MF,FW",Bastia,20,2001,7,4,384,4.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,2,33.3,1.41,0.47,0.0,0.0,,55,30.5,68.0,0,3,37.0,2,0.43,1,5,-4,-0.94,-0.83,0,6,7,3,13,3,4,,,0,Ligue-2,60,2021-2022
Adilson Malanda,fr FRA,DF,Rodez Aveyron,20,2001,13,11,1026,11.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,79,81.4,90.0,10,2,20.0,1,1.38,15,9,6,0.53,2.45,0,12,8,0,3,29,13,,,0,Ligue-2,60,2021-2022
Ado Onaiwu,jp JPN,FW,Toulouse,25,1995,14,10,877,9.7,5,0,5,0,0,1,0,0.51,0.0,0.51,0.51,0.51,21,9,42.9,2.16,0.92,0.24,0.56,,63,69.6,75.0,3,4,33.0,0,2.07,21,7,14,1.44,0.26,0,18,8,2,1,2,5,,,0,Ligue-2,60,2021-2022
Adon Gomis,fr FRA,DF,Dunkerque,29,1992,14,13,1156,12.8,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,5,2,40.0,0.39,0.16,0.2,0.5,,83,91.7,88.0,12,1,12.0,0,1.14,14,16,-2,-0.16,0.71,0,16,9,1,1,13,19,,,0,Ligue-2,60,2021-2022
Adrien Monfray,fr FRA,DF,Grenoble,30,1990,13,12,1128,12.5,1,0,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,9,1,11.1,0.72,0.08,0.11,1.0,,87,89.5,90.0,12,1,48.0,0,1.15,10,16,-6,-0.48,-1.84,0,6,12,0,0,18,20,,,0,Ligue-2,60,2021-2022
Adrián Cubas,py PAR,MF,Nîmes,25,1996,10,8,732,8.1,0,2,0,0,0,3,0,0.0,0.25,0.25,0.0,0.25,2,0,0.0,0.25,0.0,0.0,,,73,58.1,85.0,4,2,26.0,0,1.3,9,9,0,0.0,0.51,0,22,9,0,0,19,24,,,0,Ligue-2,60,2021-2022
Aeron Zinga,fr FRA,DF,Valenciennes,21,2000,2,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,5.29,0.0,0.0,,,9,1.3,,0,2,9.0,0,0.0,0,0,0,0.0,0.72,0,1,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Ahmad Ngouyamsa,cm CMR,"MF,DF",Dijon,20,2000,8,6,540,6.0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.17,0.0,0.0,,,68,42.9,77.0,4,2,39.0,4,1.25,6,9,-3,-0.5,-0.13,0,17,5,0,16,7,6,,,0,Ligue-2,60,2021-2022
Alan Kerouedan,fr FRA,MF,Rodez Aveyron,21,2000,4,2,171,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.53,0.0,0.0,,,43,13.6,69.0,0,2,17.0,1,1.0,1,4,-3,-1.58,-1.91,0,1,0,0,9,2,4,,,0,Ligue-2,60,2021-2022
Alan Virginius,fr FRA,MF,Sochaux,18,2003,9,1,168,1.9,2,1,2,0,0,0,0,1.07,0.54,1.61,1.07,1.61,3,2,66.7,1.61,1.07,0.67,1.0,,19,13.3,45.0,0,8,15.0,2,1.67,3,3,0,0.0,-0.58,0,1,2,0,9,3,1,,,0,Ligue-2,60,2021-2022
Alassane Diaby,ml MLI,MF,Quevilly-Rouen,26,1995,8,8,667,7.4,1,0,1,0,0,2,1,0.13,0.0,0.13,0.13,0.13,3,1,33.3,0.4,0.13,0.33,1.0,,83,52.9,83.0,6,0,,2,1.5,8,9,-1,-0.13,0.62,0,21,24,0,0,5,7,,,0,Ligue-2,60,2021-2022
