Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Johan Gastien,fr FRA,MF,Brest,29,1988,23,11,1259,14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,1,,0.00,0.07,,0.00,,55,36.8,,10,12,,7,1.63,21,12,+9,+0.64,+0.39,0,24,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Nicolas Gavory,fr FRA,DF,Clermont Foot,22,1995,33,32,2832,31.5,0,12,0,0,0,3,1,0.00,0.38,0.38,0.00,0.38,0,2,,0.00,0.06,,0.00,,86,82.8,,30,1,,1,1.52,41,29,+12,+0.38,-0.54,0,36,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Abdelrafik Gérard,fr FRA,"MF,FW",Lens,24,1993,12,4,456,5.1,1,1,1,0,0,1,0,0.20,0.20,0.39,0.20,0.39,0,3,,0.00,0.59,,0.33,,38,13.3,,1,8,,15,0.75,10,8,+2,+0.39,+0.49,0,7,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Alex Gersbach,au AUS,DF,Lens,20,1997,12,11,1014,11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,1,,0.00,0.09,,0.00,,85,29.6,,10,1,,2,1.17,13,15,-2,-0.18,-0.21,0,14,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Pierre Gibaud,fr FRA,"DF,MF",Sochaux,29,1988,9,9,756,8.4,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0,1,,0.00,0.12,,0.00,,84,22.1,,5,0,,4,1.33,11,12,-1,-0.12,+0.22,0,7,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Ghislain Gimbert,fr FRA,FW,Ajaccio,31,1985,37,35,3086,34.3,13,5,13,0,0,7,0,0.38,0.15,0.52,0.38,0.52,0,31,,0.00,0.90,,0.42,,83,90.2,,28,2,,0,1.82,60,39,+21,+0.61,+1.15,0,68,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Abraham Gneki Guié,ci CIV,FW,Orléans,31,1986,2,2,122,1.4,1,0,1,0,0,1,0,0.74,0.00,0.74,0.74,0.74,0,1,,0.00,0.74,,1.00,,61,3.6,,0,0,,0,1.50,1,3,-2,-1.48,-1.28,0,3,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jordan Gobron,fr FRA,DF,Quevilly-Rouen,25,1992,13,13,1143,12.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,1,,0.00,0.08,,0.00,,88,33.4,,11,0,,5,1.00,12,16,-4,-0.31,+0.36,0,13,0,0,0,0,0,0,0,1,Ligue-2,60,2017-2018
Jules Goda,cm CMR,GK,Tours,28,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,7.9,,3,0,,9,0.33,2,5,-3,-1.00,-0.11,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jules Goda,cm CMR,GK,Ajaccio,28,1989,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,10.5,,5,0,,0,2.20,7,2,+5,+1.25,+0.84,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Benjamin Gomel,fr FRA,FW,Lens,19,1998,1,0,12,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,0,,,0.00,,,,12,0.4,,0,1,,0,1.00,1,0,+1,+7.50,+7.55,,2,,,,,,,,,Ligue-2,60,2017-2018
David Gomis,gw GNB,"MF,FW",Gazélec Ajaccio,24,1992,37,22,2018,22.4,4,1,4,0,0,5,0,0.18,0.04,0.22,0.18,0.22,0,20,,0.00,0.89,,0.20,,55,59.0,,7,15,,0,1.11,24,38,-14,-0.62,+0.08,0,40,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Yannick Gomis,sn SEN,"FW,MF",Orléans,25,1992,31,29,2378,26.4,12,5,12,0,0,0,0,0.45,0.19,0.64,0.45,0.64,0,29,,0.00,1.10,,0.41,,77,69.5,,14,2,,0,1.29,40,40,0,0.00,+0.78,0,16,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Alimani Gory,ml MLI,MF,Le Havre,20,1996,23,6,780,8.7,4,0,4,0,0,1,1,0.46,0.00,0.46,0.46,0.46,0,9,,0.00,1.04,,0.44,,34,22.8,,0,17,,8,1.40,11,15,-4,-0.46,-1.25,0,8,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
