Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
18.0,Sat,2019-12-14,20:00,Nîmes,1.0,0–1,1.6,Nantes,12098.0,Stade des Costières,Karim Abed,Ligue-1,13,2019-2020
18.0,Sun,2019-12-15,15:00,Bordeaux,1.4,0–1,0.8,Strasbourg,18710.0,Stade Matmut-Atlantique,Florent Batta,Ligue-1,13,2019-2020
18.0,Sun,2019-12-15,17:00,Lyon,0.5,0–1,1.8,Rennes,45010.0,Groupama Stadium,Benoît Bastien,Ligue-1,13,2019-2020
18.0,Sun,2019-12-15,21:00,Saint-Étienne,1.0,0–4,3.8,Paris S-G,36391.0,Stade Geoffroy-Guichard,Ruddy Buquet,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Rennes,1.2,1–0,0.5,Bordeaux,26403.0,Roazhon Park,Thomas Léonard,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Montpellier,1.9,4–0,0.8,Brest,12975.0,Stade de la Mosson,Jeremy Stinat,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Nice,1.8,3–0,0.3,Toulouse,17945.0,Stade de Nice,Stéphanie Frappart,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Reims,1.3,1–1,1.5,Lyon,17257.0,Stade Auguste-Delaune II,Amaury Delerue,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Paris S-G,4.1,4–1,0.6,Amiens,47693.0,Parc des Princes,Eric Wattellier,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Dijon,0.8,2–2,1.6,Metz,12309.0,Stade Gaston Gérard,Johan Hamel,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Strasbourg,0.9,2–1,1.6,Saint-Étienne,25471.0,Stade de la Meinau,Olivier Thual,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Marseille,1.9,3–1,0.8,Nîmes,59043.0,Orange Vélodrome,François Letexier,Ligue-1,13,2019-2020
