Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
13.0,Sun,2019-11-24,15:00,Hellas Verona,2.0,1–0,1.0,Fiorentina,22581.0,Stadio Marc'Antonio Bentegodi,Antonio Giua,Serie-A,11,2019-2020
13.0,Sun,2019-11-24,18:00,Sampdoria,2.1,2–1,0.5,Udinese,17031.0,Stadio Comunale Luigi Ferraris,Luca Pairetto,Serie-A,11,2019-2020
13.0,Mon,2019-11-25,15:00,Lecce,2.9,2–2,0.9,Cagliari,21435.0,Stadio Comunale Via Del Mare,Maurizio Mariani,Serie-A,11,2019-2020
13.0,Mon,2019-11-25,20:45,SPAL,2.2,1–1,1.4,Genoa,12423.0,Stadio Paolo Mazza,Piero Giacomelli,Serie-A,11,2019-2020
14.0,Sat,2019-11-30,15:00,Brescia,1.1,0–3,2.5,Atalanta,14000.0,Stadio Mario Rigamonti,Daniele Doveri,Serie-A,11,2019-2020
14.0,Sat,2019-11-30,18:00,Genoa,0.8,0–1,0.9,Torino,20000.0,Stadio Comunale Luigi Ferraris,Davide Massa,Serie-A,11,2019-2020
14.0,Sat,2019-11-30,20:45,Fiorentina,1.9,0–1,1.3,Lecce,33912.0,Stadio Artemio Franchi,Marco Piccinini,Serie-A,11,2019-2020
14.0,Sun,2019-12-01,12:30,Juventus,4.5,2–2,0.5,Sassuolo,40597.0,Allianz Stadium,Federico La Penna,Serie-A,11,2019-2020
14.0,Sun,2019-12-01,15:00,Parma,0.3,0–1,1.8,Milan,18431.0,Stadio Ennio Tardini,Paolo Valeri,Serie-A,11,2019-2020
14.0,Sun,2019-12-01,15:00,Inter,1.6,2–1,1.1,SPAL,61221.0,Stadio Giuseppe Meazza,Massimiliano Irrati,Serie-A,11,2019-2020
14.0,Sun,2019-12-01,15:00,Lazio,2.8,3–0,0.8,Udinese,20000.0,Stadio Olimpico,Marco Di Bello,Serie-A,11,2019-2020
14.0,Sun,2019-12-01,18:00,Napoli,2.2,1–2,1.1,Bologna,26012.0,Stadio San Paolo,Fabrizio Pasqua,Serie-A,11,2019-2020
14.0,Sun,2019-12-01,20:45,Hellas Verona,1.0,1–3,1.8,Roma,17405.0,Stadio Marc'Antonio Bentegodi,Marco Guida,Serie-A,11,2019-2020
14.0,Mon,2019-12-02,20:45,Cagliari,0.7,4–3,1.5,Sampdoria,15658.0,Sardegna Arena,Gianluca Aureliano,Serie-A,11,2019-2020
