Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
11.0,Sun,2020-11-22,17:00,Angers,0.9,0–1,1.0,Lyon,,Stade Raymond Kopa,Amaury Delerue,Ligue-1,13,2020-2021
11.0,Sun,2020-11-22,21:00,Lille,4.2,4–0,0.7,Lorient,,Stade Pierre-Mauroy,Willy Delajod,Ligue-1,13,2020-2021
8.0,Wed,2020-11-25,19:00,Lens,0.7,1–1,2.0,Nantes,,Stade Bollaert-Delelis,Florent Batta,Ligue-1,13,2020-2021
12.0,Fri,2020-11-27,21:00,Strasbourg,0.6,1–1,1.9,Rennes,,Stade de la Meinau,Benot Millot,Ligue-1,13,2020-2021
12.0,Sat,2020-11-28,17:00,Marseille,3.0,3–1,0.4,Nantes,,Orange Vlodrome,Mikael Lesage,Ligue-1,13,2020-2021
12.0,Sat,2020-11-28,21:00,Paris S-G,2.6,2–2,1.6,Bordeaux,,Parc des Princes,Jrmie Pignard,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,13:00,Lyon,2.6,3–0,0.4,Reims,,Groupama Stadium,Jrme Miguelgorry,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,15:00,Monaco,3.1,3–0,0.2,Nmes,,Stade Louis II.,Antony Gautier,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,15:00,Lens,1.4,1–3,2.5,Angers,,Stade Bollaert-Delelis,Aurlien Petit,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,15:00,Lorient,0.3,0–1,1.6,Montpellier,,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,15:00,Metz,0.9,0–2,1.3,Brest,,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,17:00,Nice,3.5,1–3,1.0,Dijon,,Stade de Nice,Franois Letexier,Ligue-1,13,2020-2021
12.0,Sun,2020-11-29,21:00,Saint-tienne,0.9,1–1,0.5,Lille,,Stade Geoffroy-Guichard,Benot Bastien,Ligue-1,13,2020-2021
13.0,Fri,2020-12-04,21:00,Nmes,0.5,0–2,2.3,Marseille,,Stade des Costires,Willy Delajod,Ligue-1,13,2020-2021
13.0,Sat,2020-12-05,17:00,Rennes,0.7,0–2,0.7,Lens,,Roazhon Park,Johan Hamel,Ligue-1,13,2020-2021
13.0,Sat,2020-12-05,21:00,Montpellier,1.6,1–3,1.9,Paris S-G,,Stade de la Mosson,Mikael Lesage,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,13:00,Lille,1.1,2–1,0.6,Monaco,,Stade Pierre-Mauroy,Jrme Brisard,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,15:00,Angers,1.9,2–0,0.6,Lorient,,Stade Raymond Kopa,Thomas Lonard,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,15:00,Dijon,0.4,0–0,0.7,Saint-tienne,,Stade Gaston Grard,Ruddy Buquet,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,15:00,Nantes,0.5,0–4,3.1,Strasbourg,,Stade de la Beaujoire - Louis Fonteneau,Clment Turpin,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,15:00,Bordeaux,1.6,1–0,0.3,Brest,,Stade Matmut-Atlantique,Franck Schneider,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,17:00,Reims,0.5,0–0,0.8,Nice,,Stade Auguste-Delaune II,Stphanie Frappart,Ligue-1,13,2020-2021
13.0,Sun,2020-12-06,21:00,Metz,1.5,1–3,2.0,Lyon,,Stade Saint-Symphorien,Karim Abed,Ligue-1,13,2020-2021
14.0,Fri,2020-12-11,21:00,Saint-tienne,1.4,0–0,0.6,Angers,,Stade Geoffroy-Guichard,Jrme Miguelgorry,Ligue-1,13,2020-2021
14.0,Sat,2020-12-12,17:00,Marseille,0.9,2–1,1.7,Monaco,,Orange Vlodrome,Benot Millot,Ligue-1,13,2020-2021
14.0,Sat,2020-12-12,21:00,Lens,1.8,2–3,1.5,Montpellier,,Stade Bollaert-Delelis,Jeremy Stinat,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,13:00,Nice,1.4,0–1,1.4,Rennes,,Stade de Nice,Amaury Delerue,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,15:00,Brest,2.5,2–1,0.7,Reims,,Stade Francis-Le Bl,Aurlien Petit,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,15:00,Nantes,2.5,1–1,1.2,Dijon,,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,15:00,Lorient,2.9,3–0,0.4,Nmes,,Stade Yves Allainmat - Le Moustoir,Karim Abed,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,15:00,Strasbourg,1.3,2–2,1.7,Metz,,Stade de la Meinau,Franois Letexier,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,17:00,Lille,1.3,2–1,0.6,Bordeaux,,Stade Pierre-Mauroy,Eric Wattellier,Ligue-1,13,2020-2021
14.0,Sun,2020-12-13,21:00,Paris S-G,0.3,0–1,0.9,Lyon,,Parc des Princes,Benot Bastien,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,19:00,Reims,1.6,3–2,1.5,Nantes,,Stade Auguste-Delaune II,Karim Abed,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,19:00,Dijon,0.2,0–2,1.1,Lille,,Stade Gaston Grard,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,19:00,Montpellier,0.9,0–2,1.4,Metz,,Stade de la Mosson,Jrmie Pignard,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,19:00,Angers,0.3,0–2,0.6,Strasbourg,,Stade Raymond Kopa,Bastien Dechepy,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,19:00,Nmes,0.9,0–2,2.0,Nice,,Stade des Costires,Ruddy Buquet,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,21:00,Monaco,0.9,0–3,1.2,Lens,,Stade Louis II.,Willy Delajod,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,21:00,Paris S-G,2.5,2–0,1.4,Lorient,,Parc des Princes,Johan Hamel,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,21:00,Bordeaux,0.9,1–2,2.0,Saint-tienne,,Stade Matmut-Atlantique,Stphanie Frappart,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,21:00,Rennes,1.5,2–1,0.8,Marseille,,Roazhon Park,Clment Turpin,Ligue-1,13,2020-2021
15.0,Wed,2020-12-16,21:00,Lyon,3.5,2–2,1.5,Brest,,Groupama Stadium,Jrme Brisard,Ligue-1,13,2020-2021
16.0,Sat,2020-12-19,17:00,Metz,1.0,2–0,1.1,Lens,,Stade Saint-Symphorien,Amaury Delerue,Ligue-1,13,2020-2021
16.0,Sat,2020-12-19,19:00,Marseille,2.2,1–1,0.2,Reims,,Orange Vlodrome,Thomas Lonard,Ligue-1,13,2020-2021
16.0,Sat,2020-12-19,21:00,Nice,0.9,1–4,3.5,Lyon,,Stade de Nice,Antony Gautier,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,13:00,Brest,1.8,2–2,0.6,Montpellier,,Stade Francis-Le Bl,Benot Millot,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,15:00,Nantes,0.7,1–1,1.0,Angers,,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,15:00,Strasbourg,0.8,0–2,0.6,Bordeaux,,Stade de la Meinau,Benot Bastien,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,15:00,Dijon,1.1,0–1,1.3,Monaco,,Stade Gaston Grard,Jeremy Stinat,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,15:00,Saint-tienne,2.6,2–2,1.8,Nmes,,Stade Geoffroy-Guichard,Mikael Lesage,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,17:00,Lorient,1.3,0–3,1.3,Rennes,,Stade Yves Allainmat - Le Moustoir,Eric Wattellier,Ligue-1,13,2020-2021
16.0,Sun,2020-12-20,21:00,Lille,0.6,0–0,0.8,Paris S-G,,Stade Pierre-Mauroy,Franois Letexier,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,19:00,Nice,0.4,2–2,2.6,Lorient,,Stade de Nice,Aurlien Petit,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,19:00,Rennes,1.0,1–0,1.1,Metz,,Roazhon Park,Florent Batta,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,19:00,Bordeaux,1.2,1–3,1.4,Reims,,Stade Matmut-Atlantique,Jrme Brisard,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,19:00,Lens,2.1,2–1,1.4,Brest,,Stade Bollaert-Delelis,Bastien Dechepy,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,19:00,Nmes,0.9,1–3,1.3,Dijon,,Stade des Costires,Jrmie Pignard,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,21:00,Montpellier,0.9,2–3,2.0,Lille,,Stade de la Mosson,Clment Turpin,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,21:00,Monaco,0.8,2–2,1.9,Saint-tienne,,Stade Louis II.,Johan Hamel,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,21:00,Angers,1.1,2–1,1.3,Marseille,,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,21:00,Lyon,3.6,3–0,2.0,Nantes,,Groupama Stadium,Ruddy Buquet,Ligue-1,13,2020-2021
17.0,Wed,2020-12-23,21:00,Paris S-G,2.8,4–0,0.9,Strasbourg,,Parc des Princes,Jrme Miguelgorry,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,19:00,Lorient,0.7,2–5,2.2,Monaco,,Stade Yves Allainmat - Le Moustoir,Franck Schneider,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,19:00,Strasbourg,4.4,5–0,1.0,Nmes,,Stade de la Meinau,Benot Millot,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,19:00,Brest,1.6,2–0,1.4,Nice,,Stade Francis-Le Bl,Jeremy Stinat,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,19:00,Nantes,1.0,0–0,0.7,Rennes,,Stade de la Beaujoire - Louis Fonteneau,Jrmie Pignard,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,19:00,Metz,0.7,0–0,1.0,Bordeaux,,Stade Saint-Symphorien,Antony Gautier,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,21:00,Lille,0.5,1–2,0.4,Angers,,Stade Pierre-Mauroy,Thomas Lonard,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,21:00,Lyon,2.4,3–2,0.7,Lens,,Groupama Stadium,Eric Wattellier,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,21:00,Saint-tienne,1.2,1–1,1.6,Paris S-G,,Stade Geoffroy-Guichard,Karim Abed,Ligue-1,13,2020-2021
18.0,Wed,2021-01-06,21:00,Reims,0.6,0–0,0.2,Dijon,,Stade Auguste-Delaune II,Amaury Delerue,Ligue-1,13,2020-2021
