Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Julien De Sart,be BEL,MF,be Zulte Waregem,22,1994,5,3,358,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6,1,16.7,1.51,0.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,66.3,,3,2,,0,1.40,7,9,-2,-0.50,+0.98,0,6,0,0,0,Europa-League,19,2017-2018
Mathieu Debuchy,fr FRA,DF,eng Arsenal,32,1985,4,4,354,3.9,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,3,1,33.3,0.76,0.25,0.33,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,28.1,,3,0,,0,1.75,7,1,+6,+1.53,+0.33,0,8,0,1,0,Europa-League,19,2017-2018
Simon Deli,ci CIV,DF,cz Slavia Prague,25,1991,5,5,406,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4,0,0.0,0.89,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,75.2,,4,0,,0,1.60,6,5,+1,+0.22,+0.89,0,1,0,0,1,Europa-League,19,2017-2018
Moussa Dembélé,fr FRA,FW,sct Celtic,21,1996,2,2,174,1.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,96.7,,1,0,,0,1.50,1,3,-2,-1.03,-1.03,0,2,0,0,0,Europa-League,19,2017-2018
Kerem Demirbay,de GER,MF,de Hoffenheim,24,1993,4,4,317,3.5,0,3,0,0,0,3,0,0.00,0.85,0.85,0.00,0.85,8,3,37.5,2.27,0.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,58.7,,2,0,,0,1.00,5,5,0,0.00,+0.81,0,8,0,0,0,Europa-League,19,2017-2018
Besir Demiri,mk MKD,DF,mk FK Vardar,22,1994,4,3,287,3.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.31,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,53.1,,3,1,,2,0.80,3,7,-4,-1.25,+3.37,0,3,0,0,0,Europa-League,19,2017-2018
Diego Demme,de GER,MF,de RB Leipzig,25,1991,6,5,399,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.23,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,73.9,,3,1,,0,1.67,6,7,-1,-0.23,-0.23,0,6,0,0,0,Europa-League,19,2017-2018
Igor Denisov,ru RUS,MF,ru Loko Moscow,33,1984,10,10,900,10.0,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,7,4,57.1,0.70,0.40,0.14,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,10,0,,0,1.70,14,14,0,0.00,,0,13,0,0,0,Europa-League,19,2017-2018
Vitaliy Denisov,uz UZB,DF,ru Loko Moscow,30,1987,2,2,136,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,15.1,,1,0,,7,3.00,3,3,0,0.00,0.00,0,4,0,0,0,Europa-League,19,2017-2018
Alex Denny,eng ENG,MF,eng Everton,17,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,0,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2,,0,1,,0,3.00,0,0,0,0.00,+1.34,,0,,,,Europa-League,19,2017-2018
